130 processes, 130 candidates.
Dispatched work, waiting for setup (PRESS ANYKEY+ENTER TO ABORT) ...
Workload accepted: starting algorithm (est. time = 76.27794785592258 seconds)
Waiting for processes to finish (PRESS ANYKEY+ENTER TO ABORT) ...
DONE, time taken = 77.687 seconds
1: elected = false, level = 0
2: elected = false, level = 0
3: elected = false, level = 0
4: elected = false, level = 2
5: elected = false, level = 0
6: elected = false, level = 1
7: elected = false, level = 0
8: elected = false, level = 0
9: elected = false, level = 0
10: elected = false, level = 0
11: elected = false, level = 0
12: elected = false, level = 0
13: elected = false, level = 0
14: elected = false, level = 0
15: elected = false, level = 17
16: elected = false, level = 0
17: elected = false, level = 1
18: elected = false, level = 3
19: elected = false, level = 0
20: elected = false, level = 0
21: elected = false, level = 0
22: elected = false, level = 0
23: elected = false, level = 0
24: elected = false, level = 0
25: elected = false, level = 0
26: elected = false, level = 0
27: elected = false, level = 0
28: elected = false, level = 0
29: elected = false, level = 0
30: elected = false, level = 0
31: elected = false, level = 0
32: elected = false, level = 0
33: elected = false, level = 0
34: elected = false, level = 0
35: elected = false, level = 0
36: elected = false, level = 2
37: elected = false, level = 0
38: elected = false, level = 0
39: elected = false, level = 2
40: elected = false, level = 2
41: elected = false, level = 0
42: elected = false, level = 0
43: elected = false, level = 0
44: elected = false, level = 3
45: elected = false, level = 1
46: elected = false, level = 0
47: elected = false, level = 3
48: elected = false, level = 0
49: elected = false, level = 0
50: elected = false, level = 1
51: elected = false, level = 1
52: elected = false, level = 0
53: elected = false, level = 2
54: elected = false, level = 5
55: elected = false, level = 3
56: elected = false, level = 0
57: elected = false, level = 0
58: elected = false, level = 19
59: elected = false, level = 5
60: elected = false, level = 1
61: elected = false, level = 1
62: elected = false, level = 0
63: elected = false, level = 0
64: elected = false, level = 0
65: elected = false, level = 0
66: elected = false, level = 0
67: elected = false, level = 1
68: elected = false, level = 0
69: elected = false, level = 0
70: elected = false, level = 0
71: elected = false, level = 2
72: elected = false, level = 22
73: elected = false, level = 1
74: elected = false, level = 2
75: elected = false, level = 0
76: elected = false, level = 0
77: elected = false, level = 10
78: elected = false, level = 3
79: elected = false, level = 0
80: elected = false, level = 0
81: elected = false, level = 0
82: elected = false, level = 2
83: elected = false, level = 4
84: elected = false, level = 1
85: elected = false, level = 90
86: elected = false, level = 1
87: elected = false, level = 3
88: elected = false, level = 0
89: elected = false, level = 0
90: elected = false, level = 51
91: elected = false, level = 1
92: elected = false, level = 0
93: elected = false, level = 0
94: elected = false, level = 0
95: elected = false, level = 1
96: elected = false, level = 0
97: elected = false, level = 0
98: elected = false, level = 0
99: elected = false, level = 0
100: elected = false, level = 10
101: elected = false, level = 3
102: elected = false, level = 131
103: elected = false, level = 0
104: elected = true, level = 588
105: elected = false, level = 2
106: elected = false, level = 0
107: elected = false, level = 0
108: elected = false, level = 0
109: elected = false, level = 58
110: elected = false, level = 0
111: elected = false, level = 0
112: elected = false, level = 0
113: elected = false, level = 0
114: elected = false, level = 0
115: elected = false, level = 3
116: elected = false, level = 2
117: elected = false, level = 7
118: elected = false, level = 74
119: elected = false, level = 11
120: elected = false, level = 15
121: elected = false, level = 9
122: elected = false, level = 5
123: elected = false, level = 0
124: elected = false, level = 5
125: elected = false, level = 5
126: elected = false, level = 0
127: elected = false, level = 239
128: elected = false, level = 14
129: elected = false, level = 12
130: elected = false, level = 0
