100 processes, 100 candidates.
Dispatched work, waiting for setup (PRESS ANYKEY+ENTER TO ABORT) ...
Workload accepted: starting algorithm (est. time = 56.05170185988092 seconds)
Waiting for processes to finish (PRESS ANYKEY+ENTER TO ABORT) ...
DONE, time taken = 54.435 seconds
1: elected = true, level = 427
2: elected = false, level = 0
3: elected = false, level = 0
4: elected = false, level = 0
5: elected = false, level = 0
6: elected = false, level = 0
7: elected = false, level = 0
8: elected = false, level = 0
9: elected = false, level = 0
10: elected = false, level = 0
11: elected = false, level = 0
12: elected = false, level = 1
13: elected = false, level = 0
14: elected = false, level = 0
15: elected = false, level = 0
16: elected = false, level = 0
17: elected = false, level = 0
18: elected = false, level = 0
19: elected = false, level = 0
20: elected = false, level = 0
21: elected = false, level = 0
22: elected = false, level = 10
23: elected = false, level = 0
24: elected = false, level = 2
25: elected = false, level = 0
26: elected = false, level = 1
27: elected = false, level = 12
28: elected = false, level = 0
29: elected = false, level = 39
30: elected = false, level = 0
31: elected = false, level = 0
32: elected = false, level = 0
33: elected = false, level = 0
34: elected = false, level = 0
35: elected = false, level = 0
36: elected = false, level = 21
37: elected = false, level = 0
38: elected = false, level = 5
39: elected = false, level = 2
40: elected = false, level = 0
41: elected = false, level = 3
42: elected = false, level = 0
43: elected = false, level = 0
44: elected = false, level = 0
45: elected = false, level = 0
46: elected = false, level = 0
47: elected = false, level = 2
48: elected = false, level = 14
49: elected = false, level = 2
50: elected = false, level = 0
51: elected = false, level = 0
52: elected = false, level = 0
53: elected = false, level = 1
54: elected = false, level = 4
55: elected = false, level = 7
56: elected = false, level = 1
57: elected = false, level = 5
58: elected = false, level = 0
59: elected = false, level = 0
60: elected = false, level = 2
61: elected = false, level = 0
62: elected = false, level = 0
63: elected = false, level = 9
64: elected = false, level = 0
65: elected = false, level = 2
66: elected = false, level = 2
67: elected = false, level = 2
68: elected = false, level = 0
69: elected = false, level = 0
70: elected = false, level = 0
71: elected = false, level = 1
72: elected = false, level = 25
73: elected = false, level = 0
74: elected = false, level = 0
75: elected = false, level = 0
76: elected = false, level = 0
77: elected = false, level = 0
78: elected = false, level = 0
79: elected = false, level = 12
80: elected = false, level = 0
81: elected = false, level = 1
82: elected = false, level = 1
83: elected = false, level = 6
84: elected = false, level = 0
85: elected = false, level = 6
86: elected = false, level = 5
87: elected = false, level = 0
88: elected = false, level = 144
89: elected = false, level = 6
90: elected = false, level = 0
91: elected = false, level = 0
92: elected = false, level = 0
93: elected = false, level = 11
94: elected = false, level = 8
95: elected = false, level = 3
96: elected = false, level = 9
97: elected = false, level = 0
98: elected = false, level = 0
99: elected = false, level = 0
100: elected = false, level = 4
