80 processes, 80 candidates.
Dispatched work, waiting for setup (PRESS ANYKEY+ENTER TO ABORT) ...
Workload accepted: starting algorithm (est. time = 43.05621307739105 seconds)
Waiting for processes to finish (PRESS ANYKEY+ENTER TO ABORT) ...
DONE, time taken = 41.147 seconds
1: elected = false, level = 0
2: elected = false, level = 0
3: elected = false, level = 2
4: elected = false, level = 2
5: elected = false, level = 0
6: elected = false, level = 0
7: elected = false, level = 0
8: elected = false, level = 0
9: elected = false, level = 0
10: elected = false, level = 0
11: elected = false, level = 1
12: elected = false, level = 1
13: elected = false, level = 0
14: elected = false, level = 6
15: elected = false, level = 0
16: elected = false, level = 11
17: elected = false, level = 0
18: elected = false, level = 0
19: elected = false, level = 0
20: elected = false, level = 2
21: elected = false, level = 2
22: elected = false, level = 0
23: elected = false, level = 0
24: elected = false, level = 20
25: elected = false, level = 0
26: elected = false, level = 0
27: elected = false, level = 1
28: elected = false, level = 0
29: elected = false, level = 0
30: elected = false, level = 5
31: elected = false, level = 0
32: elected = false, level = 1
33: elected = false, level = 0
34: elected = false, level = 1
35: elected = false, level = 0
36: elected = false, level = 0
37: elected = false, level = 4
38: elected = true, level = 329
39: elected = false, level = 0
40: elected = false, level = 0
41: elected = false, level = 57
42: elected = false, level = 5
43: elected = false, level = 0
44: elected = false, level = 8
45: elected = false, level = 0
46: elected = false, level = 0
47: elected = false, level = 5
48: elected = false, level = 0
49: elected = false, level = 1
50: elected = false, level = 0
51: elected = false, level = 0
52: elected = false, level = 0
53: elected = false, level = 0
54: elected = false, level = 0
55: elected = false, level = 0
56: elected = false, level = 0
57: elected = false, level = 0
58: elected = false, level = 0
59: elected = false, level = 2
60: elected = false, level = 0
61: elected = false, level = 0
62: elected = false, level = 0
63: elected = false, level = 0
64: elected = false, level = 0
65: elected = false, level = 3
66: elected = false, level = 2
67: elected = false, level = 2
68: elected = false, level = 0
69: elected = false, level = 1
70: elected = false, level = 23
71: elected = false, level = 118
72: elected = false, level = 0
73: elected = false, level = 0
74: elected = false, level = 4
75: elected = false, level = 1
76: elected = false, level = 4
77: elected = false, level = 19
78: elected = false, level = 12
79: elected = false, level = 0
80: elected = false, level = 0
